"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\data\source\student_data_source.dart", "Dart", 25, 1, 8, 34
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\data\source\sub_user_data_source.dart", "Dart", 46, 13, 11, 70
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\di\service_locator.dart", "Dart", 64, 9, 10, 83
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\domain\entity\auth_data.dart", "Dart", 12, 1, 2, 15
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\domain\entity\program_search_params.dart", "Dart", 53, 0, 3, 56
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\domain\entity\sub_user.dart", "Dart", 32, 0, 2, 34
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\domain\repository\agent_auth_repository.dart", "Dart", 16, 0, 1, 17
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\domain\repository\application_repository.dart", "Dart", 3, 0, 1, 4
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\domain\repository\search_repository.dart", "Dart", 13, 0, 2, 15
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\domain\repository\student_auth_repository.dart", "Dart", 13, 0, 1, 14
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\domain\repository\student_repository.dart", "Dart", 4, 0, 1, 5
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\domain\repository\sub_user_repository.dart", "Dart", 8, 0, 2, 10
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\main.dart", "Dart", 38, 1, 4, 43
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\auth\auth_page.dart", "Dart", 78, 0, 4, 82
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\auth\bloc\auth_bloc.dart", "Dart", 79, 2, 4, 85
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\auth\bloc\auth_event.dart", "Dart", 57, 0, 18, 75
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\auth\bloc\auth_state.dart", "Dart", 39, 0, 24, 63
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\auth\forgot_pass_form.dart", "Dart", 63, 0, 4, 67
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\auth\gdpr_page.dart", "Dart", 58, 0, 24, 82
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\auth\login_form.dart", "Dart", 146, 0, 7, 153
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\auth\privacy_page.dart", "Dart", 16, 0, 2, 18
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\auth\register_form.dart", "Dart", 231, 3, 13, 247
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\blog\blog.dart", "Dart", 8, 0, 3, 11
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\components\app_bar.dart", "Dart", 36, 0, 4, 40
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\components\drawer.dart", "Dart", 199, 7, 6, 212
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\banner_slider.dart", "Dart", 42, 0, 4, 46
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\categories\bloc\categories_bloc.dart", "Dart", 20, 0, 3, 23
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\categories\bloc\categories_event.dart", "Dart", 4, 0, 3, 7
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\categories\bloc\categories_state.dart", "Dart", 9, 0, 6, 15
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\categories\categories_list.dart", "Dart", 94, 25, 3, 122
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\categories\categories_list_page.dart", "Dart", 61, 0, 3, 64
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\cities\bloc\cities_bloc.dart", "Dart", 19, 0, 3, 22
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\cities\bloc\cities_event.dart", "Dart", 4, 0, 3, 7
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\cities\bloc\cities_state.dart", "Dart", 13, 0, 8, 21
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\cities\cities_list_page.dart", "Dart", 90, 0, 3, 93
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\cities\city_details_page.dart", "Dart", 49, 1, 3, 53
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\home_page.dart", "Dart", 240, 3, 8, 251
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\home\home_page_utils_list.dart", "Dart", 91, 0, 3, 94
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\applications\applications_page.dart", "Dart", 17, 0, 3, 20
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\applications\bloc\applications_bloc.dart", "Dart", 10, 1, 3, 14
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\applications\bloc\applications_event.dart", "Dart", 3, 0, 3, 6
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\applications\bloc\applications_state.dart", "Dart", 5, 0, 5, 10
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\darwer.dart", "Dart", 165, 1, 4, 170
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\dashboard.dart", "Dart", 22, 0, 3, 25
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\profile\bloc\user_profile_bloc.dart", "Dart", 35, 0, 5, 40
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\profile\bloc\user_profile_event.dart", "Dart", 14, 0, 5, 19
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\profile\bloc\user_profile_state.dart", "Dart", 9, 0, 7, 16
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\profile\profile.dart", "Dart", 134, 1, 4, 139
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\students\bloc\students_bloc.dart", "Dart", 18, 0, 3, 21
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\students\bloc\students_event.dart", "Dart", 3, 0, 3, 6
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\students\bloc\students_state.dart", "Dart", 8, 0, 6, 14
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\students\student_create.dart", "Dart", 0, 0, 1, 1
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\students\student_details_page.dart", "Dart", 19, 0, 4, 23
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\students\students_page.dart", "Dart", 139, 1, 3, 143
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\sub_users\add_sub_user_form.dart", "Dart", 169, 1, 14, 184
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\sub_users\bloc\sub_users_bloc.dart", "Dart", 21, 0, 3, 24
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\sub_users\bloc\sub_users_event.dart", "Dart", 11, 0, 7, 18
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\sub_users\bloc\sub_users_state.dart", "Dart", 8, 0, 6, 14
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\portal\agent\sub_users\sub_users_page.dart", "Dart", 145, 1, 3, 149
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\profile\bloc\profile_bloc.dart", "Dart", 23, 0, 3, 26
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\profile\bloc\profile_event.dart", "Dart", 11, 0, 6, 17
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\profile\bloc\profile_state.dart", "Dart", 6, 0, 5, 11
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\profile\profile_page.dart", "Dart", 283, 9, 9, 301
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\root.dart", "Dart", 91, 0, 11, 102
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\search\bloc\search_bloc.dart", "Dart", 113, 10, 9, 132
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\search\bloc\search_event.dart", "Dart", 31, 0, 7, 38
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\search\bloc\search_state.dart", "Dart", 28, 1, 10, 39
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\search\program_details.dart", "Dart", 264, 7, 4, 275
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\search\programs_list_page.dart", "Dart", 175, 6, 4, 185
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\search\programs_search_form.dart", "Dart", 154, 8, 5, 167
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\search\search_page.dart", "Dart", 80, 0, 6, 86
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\search\university_list_page.dart", "Dart", 129, 3, 4, 136
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\search\university_search_form.dart", "Dart", 81, 2, 5, 88
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\support\contact_us.dart", "Dart", 184, 0, 3, 187
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\support\support_page.dart", "Dart", 55, 0, 3, 58
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\theme.dart", "Dart", 104, 0, 3, 107
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\universities\bloc\universities_bloc.dart", "Dart", 30, 1, 4, 35
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\universities\bloc\universities_event.dart", "Dart", 14, 0, 8, 22
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\universities\bloc\universities_state.dart", "Dart", 21, 0, 10, 31
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\universities\compare_universities_page.dart", "Dart", 262, 5, 5, 272
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\universities\universities_list.dart", "Dart", 189, 2, 3, 194
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\universities\universities_list_page.dart", "Dart", 158, 2, 3, 163
"c:\Users\naoza\OneDrive\Desktop\D\Projects\applycamp\lib\ui\universities\university_details.dart", "Dart", 185, 5, 5, 195
"Total", "-", 8464, 195, 758, 9417
